Timestamp,Username,Post ID,Content,Link
"2026-03-03 17:14:16 GMT","@lover_lette","2028881658309689551","i will miss her 😭 i sang and played Heaven during my first ever public open mic last year... and i would always listen to it whenever my uncertainties and anxieties would get the best of me... greatest reminder for me to live in the now!","https://x.com/lover_lette/status/2028881658309689551"
"2026-03-03 17:08:21 GMT","@RCRRecording","2028880167322399155","Come join us this evening at Brother's Lounge in Cleveland at 8pm for an open mic hosted by Poor Duncan and earn a chance to win free studio time at RCR Recording Studios! Hope to see you there! https://www.facebook.com/share/p/1GPopJAKu4/ https://www.instagram.com/poorduncan/p/DJ4wE3MPzWP/","https://x.com/RCRRecording/status/2028880167322399155"
"2026-03-03 17:02:29 GMT","@pourinfo","2028878691904655792","🎤 Plus besoin d'aller à Paris pour tester vos meilleures vannes : l’Orléans Comedy Club lance son Open Mic pour découvrir les futurs talents du stand-up local ! https://www.facebook.com/PourInfo/posts/-open-mic-enfin-une-sc%C3%A8ne-ouverte-%C3%A0-orl%C3%A9ans-jusquici-%C3%A0-orl%C3%A9ans-si-tu-voulais-tes/966543889058630/","https://x.com/pourinfo/status/2028878691904655792"
"2026-03-03 17:00:19 GMT","@enmur","2028878144984224194","Join us at ENMU Roswell for an Open Mic event celebrating creativity, spoken word, poetry, and stories. Everyone is welcome to share and enjoy! 🗓 Date: April 1, 2026 📍 Location: LRC, Student Lounge ⏰ Signup starts at 9:30 AM ⏰ Event runs from 10:00 to 11:30 AM #ENMURoswell","https://x.com/enmur/status/2028878144984224194"
"2026-03-03 16:35:23 GMT","@LevityLiveHSV","2028871869676372475","Work-It-Out Wednesday is tomorrow at Huntsville Levity Live — our version of an open mic. Local comics, touring comics, and brand-new comics all working out fresh material. Tomorrow Ticket link in bio #HuntsvilleLevityLive #HSVComedy #OpenMic #StandUpLive #WorkItOut","https://x.com/LevityLiveHSV/status/2028871869676372475"
"2026-03-03 16:35:03 GMT","@agripulse","2028871786083893678","This week's Open Mic guest is Christy Seyfert, CEO and President of @farmcredit. Listen to the full interview: https://www.agri-pulse.com/media/podcasts/85-agri-pulse-open-mic-interview/play/17030-agri-pulse-open-mic-christy-seyfert-farm-credit-council","https://x.com/agripulse/status/2028871786083893678"
"2026-03-03 16:06:01 GMT","@Yugabyte","2028864479526797355","⏰LIVE TOMORROW at 5:30pm! ⏰ We’re hosting a joint evening with @TryArcade at @Yugabyte HQ to explore two key components of the agentic stack: Agent State and Security Tools.💡 ➡️AGENTIC OPEN MIC: What about Memory & Auth? Join us live to discover the architecture, code, and infrastructure required to deploy agents to production.🚀 Share your thoughts, gain insights, and network with fellow builders in person.🍕🙌💬 Find out more and register:","https://x.com/Yugabyte/status/2028864479526797355"
"2026-03-03 15:51:52 GMT","@henny_dip","2028860919787233621","My cousin and I missed the open mic comedy show last night","https://x.com/henny_dip/status/2028860919787233621"
"2026-03-03 15:48:42 GMT","@anabel4congress","2028860123095933195","We’re excited to team up with Lost and Found Storytelling to bring together residents from Chicago’s South and West Sides for a night of connection through personal storytelling. Open mic. Theme: Unity. RSVP: https://www.mobilize.us/anabelforcongress/event/914454/?referring_vol=12400087&share_context=dashboard-event-details&sharer_role=2","https://x.com/anabel4congress/status/2028860123095933195"
"2026-03-03 15:47:17 GMT","@GigBuddiesCymru","2028859765695119629","Mark has been attending spoken word open mic events hosted by our friends at @VoiceboxWxm. Mark has written a poem named “Life Sentence” in which he describes how having a learning disability is a life sentence but also how having a Gig Buddy can carry us forward...","https://x.com/GigBuddiesCymru/status/2028859765695119629"
"2026-03-03 15:29:24 GMT","@gusugland","2028855265030812019","Bombed my open mic sooo bad last night 💀💀 stand-up comedy is a humiliation ritual","https://x.com/gusugland/status/2028855265030812019"
"2026-03-03 14:40:22 GMT","@admiraldevs88","2028842928420831323","I did this at an acoustic open mic night once.","https://x.com/admiraldevs88/status/2028842928420831323"
"2026-03-03 12:56:52 GMT","@ktownmwr","2028816880383758839","🎤 Open Mic Night! March 27, 7–10 p.m. at Kazabra Club, Bldg. 2057 Vogelweh. 18+ event. $10 admission; performers $15 (2 drinks). Register by March 25! 🚗🎶😂 https://kaiserslautern.armymwr.com/view-event/open-mic-night/7176057/107619 #ArmyMWRCares","https://x.com/ktownmwr/status/2028816880383758839"
"2026-03-03 10:00:27 GMT","@TheBulmersheSch","2028760149259641094","Open Mic night returns: Tuesday 24 March, 5pm in the auditorium. Student sign-ups: Tuesday 10 March, 3pm in Mu2. Weekly band workshops are available every Wednesday (3-4pm) for those who want to practice. Tickets available on IRIS shortly","https://x.com/TheBulmersheSch/status/2028760149259641094"
